run_id,timestamp,latency_ms,spend_vbytes
1,2026-06-28T18:05:23.509539,623.56,185
2,2026-06-28T18:05:24.209334,673.77,185
3,2026-06-28T18:05:24.908782,665.54,185
4,2026-06-28T18:05:25.630413,682.91,185
5,2026-06-28T18:05:26.309998,644.73,185
6,2026-06-28T18:05:27.010935,669.31,185
7,2026-06-28T18:05:27.664338,621.67,185
8,2026-06-28T18:05:28.322463,629.71,185
9,2026-06-28T18:05:29.039978,677.3,185
10,2026-06-28T18:05:29.724499,659.71,185
11,2026-06-28T18:05:30.423853,676.85,185
12,2026-06-28T18:05:31.140382,691.35,185
13,2026-06-28T18:05:31.824397,649.55,185
14,2026-06-28T18:05:32.500655,635.19,185
15,2026-06-28T18:05:33.209677,678.82,185
16,2026-06-28T18:05:33.923826,682.48,185
17,2026-06-28T18:05:34.608740,652.96,185
18,2026-06-28T18:05:35.275567,638.77,185
19,2026-06-28T18:05:35.978316,670.52,185
20,2026-06-28T18:05:36.672189,665.22,185
21,2026-06-28T18:05:37.364656,676.44,185
22,2026-06-28T18:05:38.038657,647.56,185
23,2026-06-28T18:05:38.722315,659.59,185
24,2026-06-28T18:05:39.438855,674.97,185
25,2026-06-28T18:05:40.107306,626.36,185
26,2026-06-28T18:05:40.805907,658.37,185
27,2026-06-28T18:05:41.471220,640.63,185
28,2026-06-28T18:05:42.156869,646.06,185
29,2026-06-28T18:05:42.837047,656.09,185
30,2026-06-28T18:05:43.479837,616.6,185
31,2026-06-28T18:05:44.137060,631.22,185
32,2026-06-28T18:05:44.807480,649.61,185
33,2026-06-28T18:05:45.469566,639.13,185
34,2026-06-28T18:05:46.100811,601.19,185
35,2026-06-28T18:05:46.836228,693.94,185
36,2026-06-28T18:05:47.507090,655.2,185
37,2026-06-28T18:05:48.184663,654.97,185
38,2026-06-28T18:05:48.924030,701.73,185
39,2026-06-28T18:05:49.572539,628.15,185
40,2026-06-28T18:05:50.235344,642.05,185
41,2026-06-28T18:05:50.902535,629.97,185
42,2026-06-28T18:05:51.618124,689.45,185
43,2026-06-28T18:05:52.336474,683.19,185
44,2026-06-28T18:05:52.999334,642.77,185
45,2026-06-28T18:05:53.710337,670.83,185
46,2026-06-28T18:05:54.438438,689.73,185
47,2026-06-28T18:05:55.165911,687.82,185
48,2026-06-28T18:05:55.952686,749.53,185
49,2026-06-28T18:05:56.675859,686.72,185
50,2026-06-28T18:05:57.427266,712.47,185
51,2026-06-28T18:05:58.130929,672.28,185
52,2026-06-28T18:05:58.876309,724.63,185
53,2026-06-28T18:05:59.598361,697.41,185
54,2026-06-28T18:06:00.299543,661.18,185
55,2026-06-28T18:06:00.958263,649.0,185
56,2026-06-28T18:06:01.684168,703.75,185
57,2026-06-28T18:06:02.350316,647.68,185
58,2026-06-28T18:06:03.026132,652.78,185
59,2026-06-28T18:06:03.728993,671.07,185
60,2026-06-28T18:06:04.371603,611.01,185
61,2026-06-28T18:06:05.037741,642.24,185
62,2026-06-28T18:06:05.779008,725.52,185
63,2026-06-28T18:06:06.448723,645.61,185
64,2026-06-28T18:06:07.129172,661.98,185
65,2026-06-28T18:06:07.806858,659.77,185
66,2026-06-28T18:06:08.529393,686.68,185
67,2026-06-28T18:06:09.234851,671.01,185
68,2026-06-28T18:06:09.935683,661.25,185
69,2026-06-28T18:06:10.599900,639.72,185
70,2026-06-28T18:06:11.300257,675.85,185
71,2026-06-28T18:06:12.027235,690.64,185
72,2026-06-28T18:06:12.728413,659.53,185
73,2026-06-28T18:06:13.428516,693.21,185
74,2026-06-28T18:06:14.078268,624.62,185
75,2026-06-28T18:06:14.751253,634.61,185
76,2026-06-28T18:06:15.473534,685.82,185
77,2026-06-28T18:06:16.155396,642.49,185
78,2026-06-28T18:06:16.886698,714.48,185
79,2026-06-28T18:06:17.605814,681.45,185
80,2026-06-28T18:06:18.351091,707.38,185
81,2026-06-28T18:06:19.060124,669.6,185
82,2026-06-28T18:06:19.771227,675.47,185
83,2026-06-28T18:06:20.483899,673.58,185
84,2026-06-28T18:06:21.165775,644.15,185
85,2026-06-28T18:06:21.878802,674.47,185
86,2026-06-28T18:06:22.579031,662.92,185
87,2026-06-28T18:06:23.224531,606.33,185
88,2026-06-28T18:06:23.936395,676.21,185
89,2026-06-28T18:06:24.663318,689.47,185
90,2026-06-28T18:06:25.403276,702.56,185
91,2026-06-28T18:06:26.063076,641.52,185
92,2026-06-28T18:06:26.778050,675.15,185
93,2026-06-28T18:06:27.470604,655.18,185
94,2026-06-28T18:06:28.143644,655.6,185
95,2026-06-28T18:06:28.832847,651.58,185
96,2026-06-28T18:06:29.556423,683.22,185
97,2026-06-28T18:06:30.216951,621.28,185
98,2026-06-28T18:06:30.914723,659.61,185
99,2026-06-28T18:06:31.595172,654.95,185
100,2026-06-28T18:06:32.279601,663.48,185
