rho_h,kappa,runs,trials_per_run,analytical_prob,simulated_prob_mean,simulated_prob_std,abs_diff_pct
0.30,3,100,1000,0.657000,0.656670,0.015033,0.0502
0.30,5,100,1000,0.831930,0.828170,0.010680,0.4520
0.30,7,100,1000,0.917646,0.918310,0.008316,0.0724
0.40,3,100,1000,0.784000,0.783860,0.012518,0.0179
0.40,5,100,1000,0.922240,0.923290,0.007696,0.1139
0.40,7,100,1000,0.972006,0.971770,0.004870,0.0243
0.50,3,100,1000,0.875000,0.875160,0.010538,0.0183
0.50,5,100,1000,0.968750,0.968300,0.005098,0.0465
0.50,7,100,1000,0.992188,0.992020,0.002649,0.0169
